sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm25,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm25_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,45,,良好,1,0.24,37.3,38.5,37,13,3.9,4.9,1,1.6,93,2022/12/14 15:00,0.2,13,27,0,121.760056,25.129167,1
汐止,新北市,31,,良好,0,0.25,27.2,26.1,26,0,15,16.8,1.8,2.4,31,2022/12/14 15:00,0.2,9,20,1,121.6423,25.067131,2
萬里,新北市,55,細懸浮微粒,普通,0.7,0.25,40,41,52,15,3,3.7,0.7,5.8,37,2022/12/14 15:00,0.2,17,55,0,121.689881,25.179667,3
新店,新北市,27,,良好,0.6,0.31,26.5,24.9,18,14,16,18.7,2.7,0.3,134,2022/12/14 15:00,0.3,7,12,0,121.537778,24.977222,4
土城,新北市,27,,良好,1,0.34,26.4,26.6,26,10,16.9,19.2,2.3,1.7,320,2022/12/14 15:00,0.4,7,19,0,121.451861,24.982528,5
板橋,新北市,39,,良好,1.6,0.34,24.4,23.6,28,13,16.8,19.6,2.8,2.5,107,2022/12/14 15:00,0.4,11,16,1,121.458667,25.012972,6
新莊,新北市,40,,良好,0.5,0.32,26,24.9,31,14,14.1,17.1,3,3.5,85,2022/12/14 15:00,0.3,12,24,0,121.4325,25.037972,7
菜寮,新北市,35,,良好,0.7,0.36,27.1,27.6,26,13,15.2,16.9,1.6,2.8,101,2022/12/14 15:00,0.4,10,17,0,121.481028,25.06895,8
林口,新北市,27,,良好,0.8,0.24,24.5,22.7,24,7,15.3,21.6,6.3,3.1,54,2022/12/14 15:00,0.3,8,19,0,121.3654898,25.07798949,9
淡水,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/12/14 15:00,0,0,0,0,121.449239,25.1645,10
士林,臺北市,30,,良好,0.9,0.26,30.9,32.8,17,7,9.7,11,1.3,1.6,134,2022/12/14 15:00,0.2,6,12,0,121.5166636,25.10334003,11
中山,臺北市,37,,良好,0.5,0.4,22.2,20.5,27,11,19.2,24.7,5.4,2.6,124,2022/12/14 15:00,0.4,11,19,0,121.526528,25.062361,12
萬華,臺北市,37,,良好,0.7,0.34,24.1,22.9,24,15,18.2,21.9,3.7,2.8,80,2022/12/14 15:00,0.3,11,19,1,121.507972,25.046503,13
古亭,臺北市,44,,良好,0.7,0.28,24.2,25.9,30,16,16.6,18.9,2.3,1.7,71,2022/12/14 15:00,0.3,13,20,0,121.529556,25.020608,14
松山,臺北市,40,,良好,1.4,0.3,17.3,18.4,37,0,24.9,31.1,6.1,1.6,51,2022/12/14 15:00,0.3,12,27,1,121.578611,25.05,15
大同,臺北市,47,,良好,0.9,0.71,12.6,11.1,40,16,28.4,53.9,25.5,0,0,2022/12/14 15:00,0.8,13,34,0,121.5134207,25.06331455,16
桃園,桃園市,34,,良好,1.3,0.35,27.1,25.2,22,10,15.3,19.2,3.8,2.9,60,2022/12/14 15:00,0.4,10,17,1,121.3050053,24.9947107,17
大園,桃園市,49,,良好,2.7,0.28,26.4,26.6,36,17,16.1,22.6,6.4,6.5,53,2022/12/14 15:00,0.2,15,29,2,121.2025147,25.06100357,18
觀音,桃園市,47,,良好,2.7,0.21,34.9,34.4,36,18,6.1,6.9,0.7,7.3,65,2022/12/14 15:00,0.2,14,30,3,121.0828309,25.03556747,19
